ano,mes,data,regiao,uf,setor_consumo,consumo_mwh,demanda_pico,temperatura_media,tarifa_media,populacao,eficiencia_energetica,emissao_co2,nivel_demanda
2015,2,2015-02-01,Nordeste,BA,Público,12781.07,7184.47,24.0,0.75,111090,54.51,701.22,Alto
2015,2,2015-02-01,Nordeste,PE,Rural,119513.23,8217.11,22.8,0.64,642187,64.06,32009.59,Alto
2015,2,2015-02-01,Nordeste,PE,Público,6424.86,3802.26,25.9,0.89,5699051,67.69,9547.04,Baixo
2015,2,2015-02-01,Nordeste,CE,Rural,30682.17,2782.23,24.8,0.6,4200057,47.21,75511.46,Médio
2015,2,2015-02-01,Nordeste,CE,Público,36600.11,5869.48,30.7,0.76,3544988,55.8,2583.05,Baixo
2015,2,2015-02-01,Nordeste,MA,Comercial,36065.97,1298.66,18.6,1.02,1820238,82.23,46277.15,Baixo
2015,2,2015-02-01,Nordeste,PB,Público,11396.29,2925.92,26.0,0.62,5789878,81.81,19417.49,Alto
2015,2,2015-02-01,Centro-Oeste,DF,Público,51840.96,2172.77,25.3,0.96,2871606,86.54,26650.01,Médio
2015,2,2015-02-01,Centro-Oeste,GO,Industrial,25485.94,9088.4,29.0,0.87,2276344,71.04,36116.31,Baixo
2015,2,2015-02-01,Centro-Oeste,GO,Rural,10881.82,4315.68,27.4,0.68,4391996,47.18,35774.17,Crítico
2015,2,2015-02-01,Centro-Oeste,MT,Rural,102273.22,7140.0,22.3,0.74,4361945,62.55,63202.58,Crítico
2015,2,2015-02-01,Centro-Oeste,MS,Público,8275.4,3142.58,27.5,0.55,1859433,82.07,61865.9,Crítico
2015,2,2015-02-01,Sudeste,SP,Comercial,5778.51,2342.24,26.0,0.73,2105431,57.56,70252.38,Médio
2015,2,2015-02-01,Sudeste,SP,Comercial,16388.2,3292.21,24.0,1.01,5109406,80.13,36537.2,Baixo
2015,2,2015-02-01,Sudeste,SP,Público,88826.53,5347.38,27.8,0.64,2185194,83.89,10221.66,Crítico
2015,2,2015-02-01,Sudeste,RJ,Comercial,24746.2,979.82,22.8,0.74,2810578,87.74,25540.81,Alto
2015,2,2015-02-01,Sudeste,RJ,Público,19062.99,12485.04,23.7,0.79,2240962,87.71,67511.24,Médio
2015,2,2015-02-01,Sudeste,RJ,Comercial,89167.94,2295.91,23.1,0.8,1467137,81.64,15091.75,Baixo
2015,2,2015-02-01,Sudeste,RJ,Público,23873.55,4188.76,28.2,0.59,3454819,57.2,5523.48,Baixo
2015,2,2015-02-01,Sudeste,MG,Residencial,95054.75,3102.4,28.5,0.79,117697,67.28,51321.87,Médio
2015,2,2015-02-01,Sudeste,MG,Industrial,52832.5,17793.16,28.0,0.9,4784646,57.14,61334.71,Crítico
2015,2,2015-02-01,Sudeste,MG,Residencial,34859.47,1109.53,20.3,0.83,279198,53.62,23970.2,Crítico
2015,2,2015-02-01,Sudeste,ES,Residencial,17984.19,7293.8,27.3,1.03,4746736,61.99,72937.48,Baixo
2015,2,2015-02-01,Sudeste,ES,Rural,103040.08,707.11,17.5,0.77,3949799,87.7,70400.03,Baixo
2015,2,2015-02-01,Sudeste,ES,Rural,8455.66,540.6,25.2,0.88,3752775,72.91,14518.43,Alto
2015,2,2015-02-01,Sul,PR,Industrial,39761.41,2334.39,24.1,1.0,4354503,56.15,55756.02,Crítico
2015,2,2015-02-01,Sul,PR,Rural,9505.73,1209.52,28.8,0.65,313127,73.37,59476.4,Baixo
2015,2,2015-02-01,Sul,SC,Público,66435.6,6990.37,22.7,0.72,694131,57.53,50075.88,Baixo
2015,2,2015-02-01,Sul,SC,Rural,16515.61,4268.5,19.6,0.59,4603015,74.55,48057.61,Crítico
2015,2,2015-02-01,Sul,RS,Residencial,63497.9,6035.07,26.3,0.59,4127799,93.15,22657.49,Baixo
2015,2,2015-02-01,Sul,RS,Industrial,25175.18,670.9,19.9,0.65,2631283,47.18,27436.59,Alto
2015,3,2015-03-01,Norte,AM,Comercial,24699.67,485.61,28.9,0.98,3574581,74.68,22979.92,Crítico
2015,3,2015-03-01,Norte,PA,Rural,80018.16,740.97,23.7,1.13,1902097,76.51,64414.41,Alto
2015,3,2015-03-01,Norte,PA,Industrial,18216.65,1263.71,22.0,1.12,133886,76.31,39194.29,Médio
2015,3,2015-03-01,Norte,RO,Industrial,22555.41,9284.94,24.7,0.95,1389512,58.95,17580.08,Médio
2015,3,2015-03-01,Norte,TO,Rural,46114.58,2973.88,22.5,0.78,666081,67.0,51172.17,Alto
2015,3,2015-03-01,Nordeste,BA,Comercial,288574.85,16550.97,26.0,0.79,3990294,75.38,75262.93,Baixo
2015,3,2015-03-01,Nordeste,BA,Residencial,58856.46,12724.69,34.4,0.81,4944842,69.59,71361.97,Alto
2015,3,2015-03-01,Nordeste,PE,Público,49121.48,6290.41,26.4,0.67,4704322,56.95,3972.11,Crítico
2015,3,2015-03-01,Nordeste,PE,Público,18337.35,1264.55,16.9,0.74,3472920,82.23,46340.32,Crítico
2015,3,2015-03-01,Nordeste,CE,Industrial,44141.15,1415.82,22.6,1.1,3262588,59.65,29396.19,Médio
2015,3,2015-03-01,Nordeste,CE,Comercial,22607.63,17417.24,19.9,0.57,4771016,52.58,12093.84,Alto
2015,3,2015-03-01,Nordeste,MA,Público,87945.6,6145.86,32.1,0.74,5614619,67.17,4752.67,Alto
2015,3,2015-03-01,Nordeste,PB,Público,16298.77,1525.18,25.1,1.14,1753593,84.3,61126.98,Baixo
2015,3,2015-03-01,Centro-Oeste,DF,Residencial,19166.86,1216.41,23.7,0.57,1898723,68.73,13373.62,Baixo
2015,3,2015-03-01,Centro-Oeste,GO,Residencial,19205.84,3034.8,24.8,0.67,3804377,56.88,26967.25,Alto
2015,3,2015-03-01,Centro-Oeste,GO,Público,16790.78,2661.88,25.3,0.73,4525428,64.99,23950.97,Alto
2015,3,2015-03-01,Centro-Oeste,MT,Comercial,6219.56,2010.18,29.5,1.06,4253228,54.44,27390.54,Baixo
2015,3,2015-03-01,Centro-Oeste,MS,Público,14181.78,673.86,26.7,0.81,247544,87.87,9332.07,Baixo
2015,3,2015-03-01,Sudeste,SP,Industrial,26323.64,7900.99,23.9,0.88,3604195,45.45,70487.93,Baixo
2015,3,2015-03-01,Sudeste,SP,Industrial,31501.81,2641.73,19.4,0.75,2793953,48.68,8856.55,Alto
2015,3,2015-03-01,Sudeste,SP,Industrial,12033.99,821.9,30.4,1.1,3306570,62.62,13578.89,Alto
2015,3,2015-03-01,Sudeste,RJ,Público,66426.31,2136.94,26.2,0.57,4184953,82.73,40804.87,Crítico
2015,3,2015-03-01,Sudeste,RJ,Residencial,115545.1,981.7,27.2,1.13,2437439,66.44,28942.27,Crítico
2015,3,2015-03-01,Sudeste,RJ,Rural,18551.91,3855.02,29.6,0.83,3877431,54.76,9325.97,Médio
2015,3,2015-03-01,Sudeste,RJ,Residencial,80244.43,8307.96,15.2,1.14,3017354,87.14,14506.36,Alto
2015,3,2015-03-01,Sudeste,MG,Público,73749.22,4993.74,24.6,0.87,5275778,90.5,21400.42,Crítico
2015,3,2015-03-01,Sudeste,MG,Rural,6273.43,3591.38,28.4,0.77,2270257,55.63,5705.97,Crítico
2015,3,2015-03-01,Sudeste,MG,Residencial,6208.18,3975.81,29.5,0.64,3242004,82.66,18112.25,Alto
2015,3,2015-03-01,Sudeste,ES,Residencial,22712.76,8890.97,25.7,0.75,5117767,65.61,310.88,Médio
2015,3,2015-03-01,Sudeste,ES,Público,21575.16,17147.09,26.3,0.69,4596906,80.75,77910.08,Crítico
2015,3,2015-03-01,Sudeste,ES,Público,26995.14,1249.43,24.0,0.74,5594506,65.99,47948.42,Médio
2015,3,2015-03-01,Sul,PR,Rural,7088.29,6639.11,29.3,1.05,3014795,70.09,43791.93,Médio
2015,3,2015-03-01,Sul,PR,Industrial,11792.9,1483.49,24.6,1.03,2929196,46.32,1419.05,Alto
2015,3,2015-03-01,Sul,SC,Residencial,14413.13,174.59,22.0,0.96,2956877,78.19,51485.32,Médio
2015,3,2015-03-01,Sul,SC,Industrial,20298.66,4050.35,27.0,1.04,2895780,74.03,56508.52,Alto
2015,3,2015-03-01,Sul,RS,Rural,2712.09,4343.29,24.1,0.65,4752177,59.94,61943.16,Crítico
2015,3,2015-03-01,Sul,RS,Rural,5158.68,2965.04,24.5,0.62,4302398,75.47,66889.65,Crítico
2015,4,2015-04-01,Norte,AM,Residencial,11542.01,11612.22,28.3,0.7,3095638,82.48,34897.06,Baixo
2015,4,2015-04-01,Norte,PA,Público,2772.55,3410.29,24.6,1.07,2468758,77.77,33952.12,Alto
2015,4,2015-04-01,Norte,PA,Residencial,89292.18,3295.42,26.8,0.98,3696589,50.67,7608.73,Baixo
2015,4,2015-04-01,Norte,RO,Industrial,4177.6,2041.26,28.1,0.59,3087911,86.82,59790.38,Crítico
2015,4,2015-04-01,Norte,TO,Industrial,72709.79,3597.33,23.7,0.68,4647971,92.0,55250.6,Baixo
2015,4,2015-04-01,Nordeste,BA,Público,75194.97,4661.22,17.4,0.67,3012372,56.5,59873.26,Crítico
2015,4,2015-04-01,Nordeste,BA,Comercial,16386.32,1195.5,22.5,0.62,4392919,81.74,29204.09,Crítico
2015,4,2015-04-01,Nordeste,PE,Público,31034.41,780.85,26.6,0.89,2704759,76.4,52933.42,Crítico
2015,4,2015-04-01,Nordeste,PE,Industrial,24381.49,7739.33,30.8,0.72,1772888,62.65,33538.68,Crítico
2015,4,2015-04-01,Nordeste,CE,Rural,109319.89,8283.57,25.8,0.6,3242373,67.44,34407.3,Crítico
2015,4,2015-04-01,Nordeste,CE,Rural,87935.98,5250.06,27.5,1.0,582297,94.21,54439.39,Médio
2015,4,2015-04-01,Nordeste,MA,Rural,16268.34,6638.38,22.3,0.91,4644454,60.66,32676.77,Crítico
2015,4,2015-04-01,Nordeste,PB,Público,6297.81,15136.58,23.0,1.06,2004637,78.64,56226.86,Alto
2015,4,2015-04-01,Centro-Oeste,DF,Industrial,39586.25,4854.03,27.0,1.12,3442407,69.44,21370.54,Médio
2015,4,2015-04-01,Centro-Oeste,GO,Residencial,2839.07,3280.63,25.2,0.79,2952191,80.27,40405.03,Médio
2015,4,2015-04-01,Centro-Oeste,GO,Comercial,57526.12,3801.87,27.6,0.96,768382,59.17,40079.81,Alto
2015,4,2015-04-01,Centro-Oeste,MT,Comercial,16752.54,11946.04,25.0,0.93,1177316,79.66,75990.69,Alto
2015,4,2015-04-01,Centro-Oeste,MS,Residencial,5642.25,646.88,29.2,0.67,4389150,57.48,43739.58,Baixo
2015,4,2015-04-01,Sudeste,SP,Industrial,14688.95,569.1,18.8,0.67,4762671,48.74,22699.11,Médio
2015,4,2015-04-01,Sudeste,SP,Comercial,6296.88,5143.36,23.5,0.8,2671306,50.18,58751.15,Crítico
2015,4,2015-04-01,Sudeste,SP,Rural,103911.08,1909.64,21.4,1.1,4049756,79.81,66751.25,Alto
2015,4,2015-04-01,Sudeste,RJ,Rural,12822.37,3308.71,20.8,0.92,1381801,76.32,65169.0,Baixo
2015,4,2015-04-01,Sudeste,RJ,Residencial,22076.13,1654.32,29.9,1.0,1119574,46.99,23932.13,Crítico
2015,4,2015-04-01,Sudeste,RJ,Residencial,11747.7,9613.57,20.9,1.13,4873559,57.24,46356.79,Baixo
2015,4,2015-04-01,Sudeste,RJ,Residencial,160740.2,275.53,27.1,0.6,3800221,91.86,56569.06,Baixo
2015,4,2015-04-01,Sudeste,MG,Comercial,59844.78,10824.31,31.4,0.97,5859191,80.44,2289.92,Baixo
2015,4,2015-04-01,Sudeste,MG,Comercial,45876.39,4585.14,24.1,0.99,4566006,94.38,71810.82,Médio
2015,4,2015-04-01,Sudeste,MG,Industrial,204227.97,1301.53,28.2,0.78,2746924,54.13,60210.91,Crítico
2015,4,2015-04-01,Sudeste,ES,Comercial,30996.1,2012.1,19.8,0.82,4830913,46.75,6458.43,Alto
2015,4,2015-04-01,Sudeste,ES,Rural,35212.76,353.77,28.2,0.77,5989911,52.42,63855.88,Alto
2015,4,2015-04-01,Sudeste,ES,Rural,29372.4,9427.55,26.8,1.06,1519610,51.1,18090.69,Baixo
2015,4,2015-04-01,Sul,PR,Comercial,28506.77,5231.31,30.2,1.05,1251777,72.33,21503.7,Alto
2015,4,2015-04-01,Sul,PR,Público,111068.28,2788.59,28.6,0.86,4113437,46.36,13302.5,Médio
2015,4,2015-04-01,Sul,SC,Público,44276.92,8936.68,20.0,0.9,2227629,93.76,39900.79,Crítico
2015,4,2015-04-01,Sul,SC,Rural,5846.82,3292.65,23.6,0.69,4897664,55.55,37792.9,Crítico
2015,4,2015-04-01,Sul,RS,Residencial,7076.31,12660.71,25.3,0.62,5975369,54.29,77505.46,Baixo
2015,4,2015-04-01,Sul,RS,Industrial,21467.41,621.6,25.1,0.82,710063,70.26,75681.36,Baixo
2015,5,2015-05-01,Norte,AM,Rural,19012.31,2679.72,23.1,0.6,5727396,45.84,445.49,Baixo
2015,5,2015-05-01,Norte,PA,Rural,19539.92,7653.23,27.4,0.61,2420842,93.92,59383.29,Alto
2015,5,2015-05-01,Norte,PA,Industrial,135385.88,1472.8,27.9,1.13,1358406,74.8,3945.08,Baixo
2015,5,2015-05-01,Norte,RO,Rural,37394.48,2459.1,25.9,0.92,1989032,45.51,48975.2,Alto
2015,5,2015-05-01,Norte,TO,Residencial,28915.39,6398.38,17.8,0.99,1682026,69.11,19219.27,Médio
2015,5,2015-05-01,Nordeste,BA,Industrial,53016.65,1121.04,23.9,1.09,613899,48.2,4675.58,Alto
2015,5,2015-05-01,Nordeste,BA,Residencial,3556.84,1453.21,23.5,0.96,4504500,56.75,30176.06,Alto
2015,5,2015-05-01,Nordeste,PE,Comercial,12842.76,1469.01,25.4,0.86,128419,55.4,66944.82,Alto
2015,5,2015-05-01,Nordeste,PE,Residencial,22677.43,14244.38,22.3,0.65,1787175,85.48,15151.64,Crítico
2015,5,2015-05-01,Nordeste,CE,Rural,15329.23,366.11,24.8,0.61,3733264,86.88,7730.42,Crítico
2015,5,2015-05-01,Nordeste,CE,Residencial,309048.93,2035.87,21.5,0.69,3156587,80.03,38988.76,Alto
2015,5,2015-05-01,Nordeste,MA,Público,7131.07,4288.53,22.6,0.83,2730082,74.01,41005.48,Baixo
2015,5,2015-05-01,Nordeste,PB,Rural,76183.44,851.39,18.7,0.79,319590,91.79,50600.91,Crítico
2015,5,2015-05-01,Centro-Oeste,DF,Residencial,3631.12,6637.52,28.9,0.79,5140820,59.94,70118.2,Crítico
2015,5,2015-05-01,Centro-Oeste,GO,Industrial,10267.24,2239.23,14.4,0.94,1994446,76.53,13962.42,Baixo
2015,5,2015-05-01,Centro-Oeste,GO,Residencial,25831.06,23818.75,25.3,0.82,1566657,61.98,23966.46,Baixo
2015,5,2015-05-01,Centro-Oeste,MT,Industrial,21473.62,4728.65,28.3,1.08,4176578,66.73,53938.99,Alto
2015,5,2015-05-01,Centro-Oeste,MS,Público,1616.44,5333.17,24.4,0.86,5265158,57.18,76258.41,Baixo
2015,5,2015-05-01,Sudeste,SP,Rural,10944.82,601.86,28.0,1.11,3308403,89.18,74136.07,Crítico
2015,5,2015-05-01,Sudeste,SP,Residencial,25726.25,1278.22,27.4,1.03,3378735,70.3,72076.7,Alto
2015,5,2015-05-01,Sudeste,SP,Público,8801.09,3051.47,28.3,0.83,1811402,63.39,72734.37,Médio
2015,5,2015-05-01,Sudeste,RJ,Rural,18880.6,5787.96,25.2,0.84,5052401,77.94,67243.51,Crítico
2015,5,2015-05-01,Sudeste,RJ,Rural,11468.08,1095.31,27.7,0.99,3969678,57.53,39716.47,Baixo
2015,5,2015-05-01,Sudeste,RJ,Rural,15152.76,8950.68,23.3,0.64,5474468,75.06,28750.73,Crítico
2015,5,2015-05-01,Sudeste,RJ,Comercial,29503.96,1380.94,24.4,0.77,2245077,91.93,69668.7,Crítico
2015,5,2015-05-01,Sudeste,MG,Público,30270.12,174.91,24.9,0.93,5185653,76.24,9257.23,Crítico
2015,5,2015-05-01,Sudeste,MG,Residencial,89061.05,3672.42,20.8,0.59,2465012,83.83,51440.11,Médio
2015,5,2015-05-01,Sudeste,MG,Comercial,44439.03,1231.07,34.6,1.0,2198936,79.13,74722.09,Baixo
2015,5,2015-05-01,Sudeste,ES,Rural,41475.45,1063.43,22.0,0.91,2835123,93.31,20783.54,Baixo
2015,5,2015-05-01,Sudeste,ES,Rural,22030.48,11938.8,31.1,0.6,4367331,51.85,4292.25,Crítico
2015,5,2015-05-01,Sudeste,ES,Residencial,15342.36,1099.86,27.9,0.57,1840391,79.74,66423.71,Médio
2015,5,2015-05-01,Sul,PR,Rural,30057.35,4920.36,23.1,0.83,3771670,56.69,48919.22,Crítico
2015,5,2015-05-01,Sul,PR,Rural,22063.1,2328.12,20.8,0.62,521646,76.84,66462.41,Crítico
2015,5,2015-05-01,Sul,SC,Residencial,49046.06,4758.8,24.2,0.57,2112098,64.26,18526.38,Alto
2015,5,2015-05-01,Sul,SC,Residencial,10384.85,6650.46,25.4,1.05,2489456,45.14,10701.04,Baixo
2015,5,2015-05-01,Sul,RS,Comercial,142247.51,12175.8,20.9,0.87,902638,66.13,41491.0,Médio
2015,5,2015-05-01,Sul,RS,Residencial,17768.24,6295.21,25.0,1.12,5639791,88.16,68169.36,Médio
2015,6,2015-06-01,Norte,AM,Público,5167.86,754.99,25.4,0.77,1488147,73.65,73394.6,Médio
2015,6,2015-06-01,Norte,PA,Comercial,25736.53,1825.58,24.4,0.69,1020879,79.18,79094.15,Baixo
2015,6,2015-06-01,Norte,PA,Público,32633.52,757.08,22.1,0.66,5373295,62.3,73736.01,Alto
2015,6,2015-06-01,Norte,RO,Industrial,1835.2,12344.57,27.1,0.89,5391015,47.59,57068.83,Médio
2015,6,2015-06-01,Norte,TO,Público,28847.4,8965.41,29.9,0.86,3101437,46.03,38841.93,Crítico
2015,6,2015-06-01,Nordeste,BA,Rural,15362.44,10989.93,19.4,0.94,5475264,88.09,13167.66,Alto
2015,6,2015-06-01,Nordeste,BA,Industrial,80465.09,3636.77,25.0,0.6,3218903,94.96,60319.19,Crítico
2015,6,2015-06-01,Nordeste,PE,Comercial,9478.02,9462.1,19.7,0.62,2550939,75.27,31265.83,Alto
2015,6,2015-06-01,Nordeste,PE,Comercial,4510.09,1039.61,22.9,1.03,5051966,55.16,68268.96,Baixo
2015,6,2015-06-01,Nordeste,CE,Público,22223.61,8979.43,22.1,1.04,3833415,66.39,10538.63,Alto
2015,6,2015-06-01,Nordeste,CE,Residencial,24180.46,3370.62,27.4,0.85,1728863,50.73,65874.57,Alto
2015,6,2015-06-01,Nordeste,MA,Rural,18676.72,363.11,29.7,0.88,5216343,56.96,14755.38,Baixo
2015,6,2015-06-01,Nordeste,PB,Industrial,105226.27,5467.36,23.8,0.79,2785240,72.56,6090.07,Médio
2015,6,2015-06-01,Centro-Oeste,DF,Rural,30589.55,3833.27,22.3,1.11,5185554,73.11,23238.9,Crítico
2015,6,2015-06-01,Centro-Oeste,GO,Comercial,51325.9,7233.59,22.0,0.96,219569,93.59,32166.5,Baixo
2015,6,2015-06-01,Centro-Oeste,GO,Comercial,12722.63,1414.21,26.1,0.58,2644426,72.38,44248.4,Crítico
2015,6,2015-06-01,Centro-Oeste,MT,Industrial,1728.98,27369.21,28.4,0.85,3767967,72.99,22013.56,Alto
2015,6,2015-06-01,Centro-Oeste,MS,Comercial,8898.92,21022.74,26.9,0.94,3776603,66.04,2770.28,Crítico
2015,6,2015-06-01,Sudeste,SP,Público,14633.06,3474.01,18.5,0.96,4548622,81.0,45721.0,Baixo
2015,6,2015-06-01,Sudeste,SP,Público,15582.66,1292.11,28.5,0.78,3003639,61.68,34435.84,Médio
2015,6,2015-06-01,Sudeste,SP,Comercial,12608.03,7053.17,16.6,0.57,3281962,62.29,15399.71,Baixo
2015,6,2015-06-01,Sudeste,RJ,Industrial,61348.3,13504.94,26.1,0.61,332763,92.3,3040.04,Baixo
2015,6,2015-06-01,Sudeste,RJ,Comercial,39350.55,1255.79,25.3,0.74,3250208,78.48,62597.54,Alto
2015,6,2015-06-01,Sudeste,RJ,Rural,27763.59,10207.62,28.9,0.56,2027798,91.75,49676.0,Alto
2015,6,2015-06-01,Sudeste,RJ,Público,30341.47,1994.97,25.5,1.0,4438197,67.66,9732.35,Alto
2015,6,2015-06-01,Sudeste,MG,Industrial,34305.02,1264.71,26.7,0.82,4355000,60.13,4798.44,Crítico
2015,6,2015-06-01,Sudeste,MG,Industrial,29693.09,12519.93,20.4,0.6,2339011,78.15,25128.13,Alto
2015,6,2015-06-01,Sudeste,MG,Rural,45272.42,6068.2,26.7,1.01,3128490,60.54,50431.3,Baixo
2015,6,2015-06-01,Sudeste,ES,Público,9105.46,2775.28,24.7,0.74,5299347,71.29,52294.62,Baixo
2015,6,2015-06-01,Sudeste,ES,Rural,7771.61,625.2,25.6,0.59,1187036,65.53,25149.82,Baixo
2015,6,2015-06-01,Sudeste,ES,Comercial,8578.05,4830.98,36.3,0.94,3710271,70.1,70418.21,Baixo
2015,6,2015-06-01,Sul,PR,Rural,106071.65,8076.97,21.5,1.05,534336,76.67,19381.91,Crítico
2015,6,2015-06-01,Sul,PR,Industrial,48675.22,5693.7,13.3,0.59,369421,67.45,1676.4,Baixo
2015,6,2015-06-01,Sul,SC,Rural,6873.52,11480.82,24.2,0.56,1391346,48.31,17536.86,Crítico
2015,6,2015-06-01,Sul,SC,Público,42376.85,2779.06,26.9,0.98,3978277,59.41,17663.1,Baixo
2015,6,2015-06-01,Sul,RS,Residencial,18065.51,7660.49,27.3,0.92,2970055,80.42,30159.73,Crítico
2015,6,2015-06-01,Sul,RS,Comercial,12041.11,4950.37,24.1,0.94,2240344,50.95,36233.41,Alto
2015,7,2015-07-01,Norte,AM,Público,10165.99,622.52,24.4,0.8,3238876,55.3,79027.43,Médio
2015,7,2015-07-01,Norte,PA,Público,20117.63,839.84,22.4,0.89,1590077,45.52,36798.77,Crítico
2015,7,2015-07-01,Norte,PA,Comercial,23577.59,16556.78,25.8,1.1,4002237,79.79,6590.69,Alto
2015,7,2015-07-01,Norte,RO,Comercial,10679.85,3279.98,31.0,1.1,1123898,49.87,1327.54,Baixo
2015,7,2015-07-01,Norte,TO,Residencial,18888.06,1534.22,20.7,1.11,1197813,60.11,71147.34,Médio
2015,7,2015-07-01,Nordeste,BA,Residencial,45755.36,1718.09,27.0,1.08,4131914,70.32,22488.09,Crítico
